"filename", "language", "TypeScript", "TypeScript React", "JavaScript", "JSON", "XML", "Markdown", "CSS", "HTML", "Log", "comment", "blank", "total"
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/reducers/index.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/reducers/learnReducer.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/reducers/searchReducer.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/reducers/userReducer.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/store.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/types/alertType.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/types/authType.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/types/eventHandleType.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/types/eventType.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/types/learnType.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/types/searchType.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/types/userType.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/utils/FetchData.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 82
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/utils/TypeScript.ts", "TypeScript", 296, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49, 346
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/utils/Valid.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 51
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/styles/Home.module.css", "CSS", 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 17, 122
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/styles/card.css", "CSS", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/styles/globals.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/styles/tooltip.css", "CSS", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 10, 73
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/tailwind.config.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 1, 25
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/temp.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 219, 0, 6, 26, 251
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/tsconfig.json", "JSON", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/yarn-error.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 2641, 0, 426, 3067
"Total", "-", 792, 12442, 42, 5725, 505, 20, 183, 219, 2641, 2464, 1635, 26668
